Transaction ID,Customer ID,Category,Sub Category,Product Name
1015,C115,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1016,C116,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1017,C117,Fruits and Vegetables,Organic Fruits and Vegetables,packaged fruit/vegetables
1018,C118,Snacks and Branded Foods,Chocolates and Candies,chocolate
1020,C120,Fruits and Vegetables,Fresh Vegetables,other vegetables
1021,C121,"Bakery,Cakes and Dairy",Dairy Products,butter milk
1021,C121,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1022,C122,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1023,C123,Fruits and Vegetables,Fresh Fruits,tropical fruit
1023,C123,"Bakery,Cakes and Dairy",Dairy Products,cream cheese
1023,C123,"Bakery,Cakes and Dairy",Dairy Products,processed cheese
1023,C123,Cleaning and Household,Detergent and Dishwash,detergent
1024,C124,Fruits and Vegetables,Fresh Fruits,tropical fruit
1024,C124,Fruits and Vegetables,Fresh Vegetables,root vegetables
1024,C124,Fruits and Vegetables,Fresh Vegetables,other vegetables
1024,C124,"Bakery,Cakes and Dairy",Icecream and Dessert,frozen dessert
1024,C124,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1024,C124,"Food Grains, Oil and Masala","Atta, Flour and Sooji",flour
1024,C124,Snacks and Branded Foods,Spreads and Sauces,sweet spreads
1024,C124,Snacks and Branded Foods,Snacks and Namkeen,salty snack
1024,C124,Snacks and Branded Foods,Biscuits and Cookies,waffles
1024,C124,Snacks and Branded Foods,Chocolates and Candies,candy
1024,C124,Cleaning and Household,All purpose cleaner,bathroom cleaner
1025,C125,Beverages,Water,bottled water
1026,C126,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1027,C127,"Egg, Meat and Fish",Meat Products,sausage
1027,C127,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1027,C127,Beverages,Energy and Soft Drinks,soda
1027,C127,Snacks and Branded Foods,Chocolates and Candies,chocolate
1028,C128,Fruits and Vegetables,Fresh Vegetables,other vegetables
1029,C129,"Bakery,Cakes and Dairy",Bakery Products,brown bread
1029,C129,Beverages,Energy and Soft Drinks,soda
1029,C129,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1030,C130,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1030,C130,Beverages,Fruit Juice & Drinks,beverages
1030,C130,Beverages,Water,bottled water
1031,C131,"Egg, Meat and Fish",Meat Products,hamburger meat
1031,C131,Fruits and Vegetables,Fresh Vegetables,other vegetables
1031,C131,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1031,C131,"Food Grains, Oil and Masala",Masalas and Spices,spices
1031,C131,Beverages,Water,bottled water
1031,C131,Personal Care,Feminine Hygiene,napkins
1032,C132,Fruits and Vegetables,Fresh Vegetables,root vegetables
1032,C132,Fruits and Vegetables,Fresh Vegetables,other vegetables
1032,C132,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1032,C132,Beverages,Fruit Juice & Drinks,beverages
1032,C132,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",sugar
1033,C133,"Egg, Meat and Fish",Meat Products,pork
1033,C133,Fruits and Vegetables,Fresh Fruits,berries
1033,C133,Fruits and Vegetables,Fresh Vegetables,other vegetables
1033,C133,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1033,C133,"Bakery,Cakes and Dairy",Dairy Products,whipped/sour cream
1033,C133,Beverages,Energy and Soft Drinks,soda
1033,C133,Cleaning and Household,All purpose cleaner,abrasive cleaner
1034,C134,"Egg, Meat and Fish",Meat Products,beef
1034,C134,Fruits and Vegetables,Fresh Fruits,grapes
1034,C134,Cleaning and Household,Detergent and Dishwash,detergent
1035,C135,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1035,C135,Beverages,Energy and Soft Drinks,soda
1036,C136,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1038,C138,Fruits and Vegetables,Fresh Vegetables,root vegetables
1038,C138,Fruits and Vegetables,Fresh Vegetables,other vegetables
1038,C138,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1038,C138,"Bakery,Cakes and Dairy",Icecream and Dessert,dessert
1039,C139,Fruits and Vegetables,Fresh Fruits,citrus fruit
1040,C140,"Egg, Meat and Fish",Meat Products,sausage
1040,C140,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1040,C140,Beverages,Energy and Soft Drinks,soda
1041,C141,Fruits and Vegetables,Fresh Fruits,tropical fruit
1041,C141,Fruits and Vegetables,Fresh Vegetables,root vegetables
1041,C141,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1041,C141,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1041,C141,"Egg, Meat and Fish",Eggs,domestic eggs
1041,C141,"Bakery,Cakes and Dairy",Bakery Products,brown bread
1041,C141,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1041,C141,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",sugar
1041,C141,"Food Grains, Oil and Masala",Dal & Pulses,cereals
1041,C141,Beverages,Coffee,coffee
1041,C141,Beverages,Energy and Soft Drinks,soda
1041,C141,Snacks and Branded Foods,Biscuits and Cookies,waffles
1041,C141,Snacks and Branded Foods,Chocolates and Candies,candy
1042,C142,Fruits and Vegetables,Fresh Fruits,berries
1042,C142,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1044,C144,"Bakery,Cakes and Dairy",Dairy Products,butter milk
1044,C144,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1044,C144,"Bakery,Cakes and Dairy",Dairy Products,cream cheese
1044,C144,"Bakery,Cakes and Dairy",Dairy Products,spread cheese
1044,C144,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1044,C144,Beverages,Water,bottled water
1044,C144,Beverages,Energy and Soft Drinks,soda
1045,C145,Beverages,Coffee,coffee
1046,C146,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1046,C146,Beverages,Water,bottled water
1047,C147,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1048,C148,Beverages,Energy and Soft Drinks,misc. beverages
1049,C149,Fruits and Vegetables,Fresh Vegetables,root vegetables
1049,C149,Fruits and Vegetables,Fresh Vegetables,other vegetables
1049,C149,"Bakery,Cakes and Dairy",Dairy Products,butter
1049,C149,"Bakery,Cakes and Dairy",Dairy Products,curd
1049,C149,"Bakery,Cakes and Dairy",Dairy Products,whipped/sour cream
1049,C149,"Bakery,Cakes and Dairy",Dairy Products,UHT-milk
1049,C149,"Bakery,Cakes and Dairy",Dairy Products,hard cheese
1049,C149,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1049,C149,Beverages,Water,bottled water
1049,C149,"Bakery,Cakes and Dairy",Bakery Products,long life bakery product
1050,C150,"Egg, Meat and Fish",Meat Products,sausage
1050,C150,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1050,C150,"Kitchen, Garden and Pets",Pet Food and Accessories,cat food
1052,C152,Fruits and Vegetables,Fresh Fruits,grapes
1052,C152,Fruits and Vegetables,Fresh Vegetables,other vegetables
1052,C152,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1053,C153,"Egg, Meat and Fish",Meat Products,turkey
1053,C153,Fruits and Vegetables,Fresh Fruits,tropical fruit
1053,C153,Fruits and Vegetables,Fresh Vegetables,other vegetables
1053,C153,"Bakery,Cakes and Dairy",Dairy Products,curd
1053,C153,"Egg, Meat and Fish",Eggs,domestic eggs
1053,C153,"Bakery,Cakes and Dairy",Bakery Products,brown bread
1053,C153,"Bakery,Cakes and Dairy",Bakery Products,semi-finished bread
1053,C153,"Bakery,Cakes and Dairy",Dairy Products,margarine
1053,C153,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1054,C154,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1054,C154,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1054,C154,"Bakery,Cakes and Dairy",Dairy Products,processed cheese
1054,C154,Fruits and Vegetables,Fresh Fruits,pickled vegetables
1054,C154,Beverages,Energy and Soft Drinks,soda
1055,C155,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1055,C155,"Bakery,Cakes and Dairy",Dairy Products,curd
1055,C155,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1055,C155,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1056,C156,Fruits and Vegetables,Organic Fruits and Vegetables,packaged fruit/vegetables
1056,C156,"Bakery,Cakes and Dairy",Bakery Products,brown bread
1057,C157,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1057,C157,"Food Grains, Oil and Masala",Edible Oil and Ghee,oil
1057,C157,Beverages,Water,bottled water
1057,C157,Snacks and Branded Foods,Chocolates and Candies,chewing gum
1057,C157,Snacks and Branded Foods,Chocolates and Candies,chocolate marshmallow
1057,C157,Personal Care,Feminine Hygiene,napkins
1058,C158,"Egg, Meat and Fish",Meat Products,beef
1058,C158,"Bakery,Cakes and Dairy",Dairy Products,whipped/sour cream
1058,C158,"Bakery,Cakes and Dairy",Icecream and Dessert,ice cream
1058,C158,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1058,C158,"Kitchen, Garden and Pets",Pet Food and Accessories,cat food
1059,C159,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1059,C159,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1059,C159,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",sugar
1060,C160,Fruits and Vegetables,Fresh Vegetables,other vegetables
1060,C160,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1060,C160,Fruits and Vegetables,Fresh Vegetables,frozen vegetables
1060,C160,"Egg, Meat and Fish",Fish Products,canned fish
1060,C160,Snacks and Branded Foods,Snacks and Namkeen,salty snack
1060,C160,Cleaning and Household,Detergent and Dishwash,detergent
1061,C161,"Egg, Meat and Fish",Meat Products,sausage
1061,C161,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1062,C162,"Egg, Meat and Fish",Meat Products,sausage
1062,C162,"Egg, Meat and Fish",Meat Products,beef
1062,C162,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1063,C163,"Egg, Meat and Fish",Meat Products,frankfurter
1063,C163,Fruits and Vegetables,Fresh Fruits,tropical fruit
1063,C163,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1063,C163,"Bakery,Cakes and Dairy",Bakery Products,brown bread
1063,C163,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",sugar
1064,C164,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1064,C164,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1064,C164,Beverages,Energy and Soft Drinks,soda
1065,C165,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1066,C166,"Bakery,Cakes and Dairy",Dairy Products,curd cheese
1066,C166,Beverages,Coffee,coffee
1068,C168,"Egg, Meat and Fish",Meat Products,sausage
1068,C168,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1068,C168,"Bakery,Cakes and Dairy",Dairy Products,curd
1069,C169,Fruits and Vegetables,Fresh Fruits,tropical fruit
1069,C169,Fruits and Vegetables,Fresh Fruits,pip fruit
1069,C169,Fruits and Vegetables,Fresh Fruits,berries
1069,C169,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1069,C169,Snacks and Branded Foods,Frozen Vegetables and Snacks,frozen potato products
1069,C169,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1069,C169,Fruits and Vegetables,Fresh Fruits,pickled vegetables
1069,C169,Snacks and Branded Foods,Chocolates and Candies,chocolate
1071,C171,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1071,C171,"Bakery,Cakes and Dairy",Dairy Products,butter
1071,C171,"Bakery,Cakes and Dairy",Dairy Products,margarine
1071,C171,Snacks and Branded Foods,Chocolates and Candies,specialty chocolate
1071,C171,"Kitchen, Garden and Pets",Gardening,flower (seeds)
1072,C172,"Egg, Meat and Fish",Meat Products,frankfurter
1072,C172,Fruits and Vegetables,Fresh Fruits,citrus fruit
1072,C172,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1072,C172,"Egg, Meat and Fish",Eggs,domestic eggs
1072,C172,"Food Grains, Oil and Masala",Edible Oil and Ghee,oil
1072,C172,Snacks and Branded Foods,Chocolates and Candies,specialty chocolate
1073,C173,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1073,C173,"Egg, Meat and Fish",Meat Products,meat spreads
1073,C173,Beverages,Energy and Soft Drinks,soda
1074,C174,Snacks and Branded Foods,Frozen Vegetables and Snacks,frozen potato products
1075,C175,Fruits and Vegetables,Fresh Vegetables,other vegetables
1075,C175,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1075,C175,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1075,C175,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",sugar
1076,C176,Fruits and Vegetables,Fresh Fruits,citrus fruit
1076,C176,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1076,C176,"Bakery,Cakes and Dairy",Dairy Products,curd
1076,C176,"Bakery,Cakes and Dairy",Dairy Products,butter milk
1076,C176,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1077,C177,"Food Grains, Oil and Masala","Atta, Flour and Sooji",flour
1077,C177,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",salt
1077,C177,Beverages,Water,bottled water
1077,C177,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1078,C178,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",sugar
1078,C178,Beverages,Water,bottled water
1078,C178,Beverages,Energy and Soft Drinks,soda
1079,C179,Beverages,Coffee,coffee
1080,C180,Snacks and Branded Foods,Chocolates and Candies,chocolate
1081,C181,Fruits and Vegetables,Fresh Vegetables,root vegetables
1081,C181,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1081,C181,Fruits and Vegetables,Fresh Vegetables,frozen vegetables
1081,C181,"Egg, Meat and Fish",Eggs,domestic eggs
1081,C181,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1081,C181,"Food Grains, Oil and Masala",Edible Oil and Ghee,oil
1081,C181,"Bakery,Cakes and Dairy",Dairy Products,margarine
1081,C181,Fruits and Vegetables,Fresh Vegetables,canned vegetables
1081,C181,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1081,C181,Cleaning and Household,All purpose cleaner,bathroom cleaner
1082,C182,Fruits and Vegetables,Fresh Vegetables,root vegetables
1082,C182,Fruits and Vegetables,Fresh Vegetables,onions
1082,C182,"Bakery,Cakes and Dairy",Dairy Products,hard cheese
1082,C182,Fruits and Vegetables,Fresh Vegetables,frozen vegetables
1083,C183,"Food Grains, Oil and Masala",Masalas and Spices,herbs
1083,C183,"Bakery,Cakes and Dairy",Dairy Products,condensed milk
1083,C183,Fruits and Vegetables,Fresh Vegetables,frozen vegetables
1083,C183,"Food Grains, Oil and Masala","Salt, Sugar and Jaggery",salt
1083,C183,"Food Grains, Oil and Masala",Edible Oil and Ghee,oil
1084,C184,Beverages,Water,bottled water
1085,C185,"Egg, Meat and Fish",Meat Products,sausage
1085,C185,Fruits and Vegetables,Fresh Vegetables,root vegetables
1085,C185,Fruits and Vegetables,Fresh Vegetables,onions
1085,C185,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1085,C185,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1085,C185,Cleaning and Household,Detergent and Dishwash,detergent
1086,C186,Beverages,Coffee,coffee
1087,C187,"Egg, Meat and Fish",Meat Products,pork
1087,C187,Fruits and Vegetables,Fresh Vegetables,other vegetables
1087,C187,"Bakery,Cakes and Dairy",Dairy Products,whipped/sour cream
1088,C188,Fruits and Vegetables,Fresh Fruits,berries
1088,C188,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1089,C189,Beverages,Energy and Soft Drinks,soda
1090,C190,Fruits and Vegetables,Fresh Fruits,berries
1091,C191,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1091,C191,Snacks and Branded Foods,Snacks and Namkeen,salty snack
1092,C192,Fruits and Vegetables,Fresh Fruits,citrus fruit
1092,C192,"Bakery,Cakes and Dairy",Dairy Products,butter milk
1092,C192,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1092,C192,"Bakery,Cakes and Dairy",Dairy Products,cream cheese
1093,C193,"Egg, Meat and Fish",Meat Products,pork
1093,C193,"Egg, Meat and Fish",Meat Products,hamburger meat
1093,C193,Fruits and Vegetables,Fresh Fruits,citrus fruit
1093,C193,Fruits and Vegetables,Fresh Fruits,berries
1093,C193,Fruits and Vegetables,Fresh Vegetables,onions
1093,C193,"Bakery,Cakes and Dairy",Dairy Products,whipped/sour cream
1093,C193,"Food Grains, Oil and Masala",Rice and Rice Products,rice
1093,C193,Beverages,Coffee,coffee
1093,C193,Snacks and Branded Foods,Chocolates and Candies,chocolate
1094,C194,Cleaning and Household,Detergent and Dishwash,detergent
1095,C195,Fruits and Vegetables,Fresh Fruits,grapes
1096,C196,"Egg, Meat and Fish",Meat Products,sausage
1096,C196,"Bakery,Cakes and Dairy",Dairy Products,sliced cheese
1096,C196,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1096,C196,"Bakery,Cakes and Dairy",Bakery Products,brown bread
1096,C196,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1096,C196,Snacks and Branded Foods,Biscuits and Cookies,waffles
1097,C197,"Egg, Meat and Fish",Meat Products,chicken
1097,C197,"Egg, Meat and Fish",Meat Products,hamburger meat
1097,C197,Fruits and Vegetables,Fresh Fruits,citrus fruit
1097,C197,Fruits and Vegetables,Fresh Fruits,tropical fruit
1097,C197,Fruits and Vegetables,Fresh Vegetables,root vegetables
1097,C197,Fruits and Vegetables,Fresh Vegetables,other vegetables
1097,C197,"Bakery,Cakes and Dairy",Dairy Products,butter
1097,C197,Snacks and Branded Foods,"Noodle, Pasta, Vermicelli",pasta
1097,C197,"Food Grains, Oil and Masala",Edible Oil and Ghee,oil
1097,C197,Cleaning and Household,Detergent and Dishwash,detergent
1098,C198,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1098,C198,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1098,C198,"Bakery,Cakes and Dairy",Bakery Products,brown bread
1099,C199,Fruits and Vegetables,Fresh Fruits,citrus fruit
1099,C199,Fruits and Vegetables,Fresh Fruits,tropical fruit
1100,C200,Beverages,Energy and Soft Drinks,soda
1100,C200,Beverages,Energy and Soft Drinks,misc. beverages
1101,C201,"Egg, Meat and Fish",Meat Products,sausage
1101,C201,"Egg, Meat and Fish",Meat Products,pork
1101,C201,Fruits and Vegetables,Fresh Fruits,grapes
1101,C201,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1101,C201,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1101,C201,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1101,C201,Beverages,Energy and Soft Drinks,soda
1101,C201,Cleaning and Household,All purpose cleaner,bathroom cleaner
1102,C202,"Egg, Meat and Fish",Meat Products,frankfurter
1102,C202,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1102,C202,Beverages,Water,bottled water
1103,C203,"Egg, Meat and Fish",Meat Products,sausage
1103,C203,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1103,C203,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1103,C203,Beverages,Coffee,coffee
1103,C203,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1103,C203,Cleaning and Household,All purpose cleaner,softener
1103,C203,Personal Care,Feminine Hygiene,napkins
1104,C204,Beverages,Energy and Soft Drinks,soda
1105,C205,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1105,C205,Beverages,Fruit Juice & Drinks,fruit/vegetable juice
1106,C206,"Egg, Meat and Fish",Meat Products,beef
1106,C206,Fruits and Vegetables,Fresh Fruits,citrus fruit
1106,C206,Fruits and Vegetables,Fresh Fruits,berries
1106,C206,Fruits and Vegetables,Fresh Vegetables,root vegetables
1106,C206,"Bakery,Cakes and Dairy",Bakery Products,brown bread
1106,C206,Cleaning and Household,Detergent and Dishwash,detergent
1107,C207,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1107,C207,"Bakery,Cakes and Dairy",Dairy Products,whipped/sour cream
1107,C207,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1107,C207,Beverages,Energy and Soft Drinks,soda
1107,C207,Snacks and Branded Foods,Biscuits and Cookies,waffles
1107,C207,Snacks and Branded Foods,Chocolates and Candies,candy
1108,C208,"Bakery,Cakes and Dairy",Dairy Products,processed cheese
1109,C209,Fruits and Vegetables,Fresh Fruits,tropical fruit
1109,C209,Fruits and Vegetables,Fresh Fruits,pip fruit
1110,C210,"Egg, Meat and Fish",Meat Products,frankfurter
1110,C210,"Egg, Meat and Fish",Meat Products,sausage
1110,C210,Fruits and Vegetables,Fresh Vegetables,root vegetables
1110,C210,Fruits and Vegetables,Fresh Vegetables,other vegetables
1110,C210,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1110,C210,"Food Grains, Oil and Masala",Edible Oil and Ghee,oil
1110,C210,Fruits and Vegetables,Fresh Fruits,pickled vegetables
1110,C210,Snacks and Branded Foods,Chocolates and Candies,chewing gum
1111,C211,Fruits and Vegetables,Organic Fruits and Vegetables,packaged fruit/vegetables
1111,C211,Beverages,Water,bottled water
1112,C212,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1112,C212,"Bakery,Cakes and Dairy",Icecream and Dessert,dessert
1112,C212,Fruits and Vegetables,Fresh Vegetables,frozen vegetables
1112,C212,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1112,C212,"Bakery,Cakes and Dairy",Dairy Products,margarine
1112,C212,Beverages,Water,bottled water
1113,C213,Fruits and Vegetables,Fresh Fruits,berries
1113,C213,"Bakery,Cakes and Dairy",Dairy Products,whipped/sour cream
1114,C214,Fruits and Vegetables,Fresh Fruits,citrus fruit
1114,C214,Fruits and Vegetables,Fresh Fruits,berries
1114,C214,"Bakery,Cakes and Dairy",Dairy Products,UHT-milk
1114,C214,"Bakery,Cakes and Dairy",Dairy Products,processed cheese
1115,C215,Fruits and Vegetables,Fresh Fruits,tropical fruit
1115,C215,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1115,C215,"Bakery,Cakes and Dairy",Dairy Products,yogurt
1116,C216,"Egg, Meat and Fish",Meat Products,hamburger meat
1116,C216,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1116,C216,Fruits and Vegetables,Fresh Vegetables,frozen vegetables
1116,C216,"Bakery,Cakes and Dairy",Bakery Products,rolls/buns
1117,C217,"Egg, Meat and Fish",Meat Products,hamburger meat
1117,C217,Fruits and Vegetables,Fresh Vegetables,other vegetables
1117,C217,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1117,C217,Fruits and Vegetables,Fresh Vegetables,frozen vegetables
1117,C217,"Egg, Meat and Fish",Eggs,domestic eggs
1117,C217,Beverages,Energy and Soft Drinks,soda
1118,C218,"Bakery,Cakes and Dairy",Dairy Products,whole milk
1118,C218,"Bakery,Cakes and Dairy",Dairy Products,cream cheese
1118,C218,Beverages,Energy and Soft Drinks,soda
1119,C219,"Egg, Meat and Fish",Fish Products,fish
1119,C219,Fruits and Vegetables,Fresh Vegetables,other vegetables
1119,C219,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1119,C219,"Bakery,Cakes and Dairy",Dairy Products,margarine
1119,C219,Beverages,Coffee,coffee
1119,C219,"Bakery,Cakes and Dairy",Bakery Products,long life bakery product
1119,C219,Beauty and Grooming,Makeup,male cosmetics
1120,C220,"Egg, Meat and Fish",Meat Products,frankfurter
1120,C220,"Egg, Meat and Fish",Meat Products,sausage
1120,C220,"Bakery,Cakes and Dairy",Bakery Products,long life bakery product
1120,C220,Snacks and Branded Foods,Biscuits and Cookies,waffles
1121,C221,Fruits and Vegetables,Organic Fruits and Vegetables,packaged fruit/vegetables
1121,C221,"Bakery,Cakes and Dairy",Icecream and Dessert,dessert
1121,C221,"Bakery,Cakes and Dairy",Bakery Products,semi-finished bread
1122,C222,"Bakery,Cakes and Dairy",Cakes and Pastries,pastry
1122,C222,Beverages,Energy and Soft Drinks,soda
1123,C223,Fruits and Vegetables,Fresh Vegetables,other vegetables
1124,C224,Beverages,Energy and Soft Drinks,misc. beverages
1125,C225,"Egg, Meat and Fish",Meat Products,frankfurter
1125,C225,"Egg, Meat and Fish",Meat Products,sausage
1125,C225,Fruits and Vegetables,Fresh Fruits,citrus fruit
1125,C225,Fruits and Vegetables,Fresh Fruits,tropical fruit
